File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
ec11_handle.o,16.940912%,9513,16,9502,0,11,5
output_handle.o,12.715034%,7140,140,7040,0,100,40
flash_handle.o,9.213947%,5174,45,5174,0,0,45
led_handle.o,9.171207%,5150,194,4980,0,170,24
key_handle.o,3.415607%,1918,103,1816,0,102,1
mf_w.l,3.397799%,1908,0,1908,0,0,0
at32f415_crm.o,3.084375%,1732,0,1692,40,0,0
eventrecorder.o,3.023827%,1698,1188,1674,24,0,1188
encoderec11.o,2.738897%,1538,171,1370,0,168,3
at32f415_tmr.o,2.361363%,1326,0,1326,0,0,0
tmt.o,2.001638%,1124,220,1124,0,0,220
perf_counter.o,1.930406%,1084,76,1072,4,8,68
at32_usart.o,1.926844%,1082,2228,1082,0,0,2228
at32f415_adc.o,1.624105%,912,0,912,0,0,0
at32f415_int.o,1.460270%,820,15,812,0,8,7
system_at32f415.o,1.410407%,792,4,772,16,4,0
pc_comm_handle.o,1.405065%,789,538,788,0,1,537
at32f415_usart.o,1.342736%,754,0,754,0,0,0
at32f415_wk_config.o,1.321366%,742,0,742,0,0,0
main.o,1.257257%,706,2,706,0,0,2
wk_tmr.o,1.207394%,678,0,678,0,0,0
at32f415_gpio.o,1.072052%,602,0,602,0,0,0
mc_w.l,0.993696%,558,0,558,0,0,0
wk_gpio.o,0.922463%,518,0,518,0,0,0
at32f415_misc.o,0.897532%,504,0,504,0,0,0
pid_handle.o,0.833422%,468,132,468,0,0,132
at32f415_flash.o,0.826299%,464,0,464,0,0,0
at32f415_dma.o,0.769313%,432,0,432,0,0,0
startup_at32f415.o,0.719450%,404,1024,36,368,0,1024
ds201_handle.o,0.669587%,376,288,376,0,0,288
adc_filter.o,0.598355%,336,144,336,0,0,144
dadd.o,0.594793%,334,0,334,0,0,0
beep.o,0.553834%,311,17,290,5,16,1
util_queue.o,0.498629%,280,0,280,0,0,0
key.o,0.446985%,251,1,250,0,1,0
wk_adc.o,0.423834%,238,0,238,0,0,0
at32f415_crc.o,0.423834%,238,0,238,0,0,0
perfc_port_default.o,0.409588%,230,0,230,0,0,0
dmul.o,0.406026%,228,0,228,0,0,0
ddiv.o,0.395341%,222,0,222,0,0,0
wk_usart.o,0.352602%,198,0,198,0,0,0
depilogue.o,0.331232%,186,0,186,0,0,0
fadd.o,0.313424%,176,0,176,0,0,0
fdiv.o,0.220821%,124,0,124,0,0,0
at32f415_wdt.o,0.210136%,118,0,118,0,0,0
wk_system.o,0.206575%,116,4,116,0,0,4
iap.o,0.206575%,116,1,116,0,0,1
fepilogue.o,0.195890%,110,0,110,0,0,0
wk_dma.o,0.192328%,108,0,108,0,0,0
fmul.o,0.178082%,100,0,100,0,0,0
uldiv.o,0.174520%,98,0,98,0,0,0
ldiv.o,0.174520%,98,0,98,0,0,0
__dczerorl2.o,0.153150%,86,0,86,0,0,0
beep_handle.o,0.121096%,68,0,68,0,0,0
d2f.o,0.099726%,56,0,56,0,0,0
wk_crc.o,0.092602%,52,0,52,0,0,0
ffixi.o,0.089041%,50,0,50,0,0,0
dfixui.o,0.089041%,50,0,50,0,0,0
flash.o,0.089041%,50,0,50,0,0,0
init.o,0.085479%,48,0,48,0,0,0
ffixui.o,0.071233%,40,0,40,0,0,0
cpp_init.o,0.071233%,40,0,40,0,0,0
f2d.o,0.067671%,38,0,38,0,0,0
memseta.o,0.064109%,36,0,36,0,0,0
llsshr.o,0.064109%,36,0,36,0,0,0
llushr.o,0.056986%,32,0,32,0,0,0
llshl.o,0.053425%,30,0,30,0,0,0
handlers.o,0.053425%,30,0,30,0,0,0
fcmplt.o,0.049863%,28,0,28,0,0,0
fcmple.o,0.049863%,28,0,28,0,0,0
fcmpgt.o,0.049863%,28,0,28,0,0,0
fcmpge.o,0.049863%,28,0,28,0,0,0
fcmpeq.o,0.049863%,28,0,28,0,0,0
systick_wrapper_gnu.o,0.049863%,28,0,28,0,0,0
dfltui.o,0.046301%,26,0,26,0,0,0
wk_wdt.o,0.046301%,26,0,26,0,0,0
fflti.o,0.032055%,18,0,18,0,0,0
wk_debug.o,0.032055%,18,0,18,0,0,0
ffltui.o,0.017808%,10,0,10,0,0,0
entry9a.o,0.014247%,8,0,8,0,0,0
entry2.o,0.014247%,8,0,8,0,0,0
entry8a.o,0.007123%,4,0,4,0,0,0
entry5.o,0.007123%,4,0,4,0,0,0
