File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
at32_usart.o,35.064526%,2228,694,678,16,0,2228
eventrecorder.o,18.696884%,1188,4682,4658,24,0,1188
startup_at32f415.o,16.115833%,1024,404,36,368,0,1024
pc_comm_handle.o,8.467108%,538,407,406,0,1,537
ds201_handle.o,4.469625%,284,216,216,0,0,284
tmt.o,3.462386%,220,792,792,0,0,220
encoderec11.o,2.675480%,170,854,686,0,168,2
adc_filter.o,2.266289%,144,260,260,0,0,144
pid_handle.o,2.077431%,132,296,296,0,0,132
output_handle.o,1.841360%,117,3030,2946,0,84,33
key_handle.o,1.652502%,105,906,802,0,104,1
perf_counter.o,1.259049%,80,654,642,4,8,72
flash_handle.o,0.661001%,42,3736,3736,0,0,42
led_handle.o,0.346239%,22,2990,2904,84,2,20
ec11_handle.o,0.299024%,19,4704,4690,0,14,5
beep.o,0.267548%,17,203,182,5,16,1
at32f415_int.o,0.188857%,12,532,528,0,4,8
wk_system.o,0.062952%,4,84,84,0,0,4
system_at32f415.o,0.062952%,4,400,396,0,4,0
main.o,0.031476%,2,574,574,0,0,2
key.o,0.015738%,1,161,160,0,1,0
iap.o,0.015738%,1,106,106,0,0,1
